0.02,113.231,0.233,168.802,0.128,919.0
0.021,113.232,-0.209,168.803,-0.115,919.0
0.022,113.232,-0.214,168.803,-0.114,919.0
0.023,113.233,-0.917,168.804,-0.495,919.0
0.024,113.234,-0.91,168.804,-0.492,919.0
0.025,113.234,0.929,168.804,0.505,919.0
0.026,113.235,0.934,168.805,0.501,919.0
0.027,113.236,0.256,168.805,0.136,919.0
0.028,113.236,0.254,168.806,0.136,919.0
0.029,113.237,-0.152,168.806,-0.084,919.0
0.03,113.237,-0.159,168.807,-0.078,919.0
0.031,113.238,-0.249,168.807,-0.135,919.0
0.032,113.239,-0.248,168.808,-0.138,919.0
0.033,113.239,-0.106,168.808,-0.052,919.0
0.034,113.24,-0.104,168.809,-0.058,919.0
0.035,113.24,0.132,168.81,0.073,919.0
0.036,113.241,0.133,168.81,0.074,919.0
0.037,113.241,0.278,168.811,0.145,919.0
0.038,113.242,0.283,168.811,0.15,919.0
0.039,113.243,0.196,168.812,0.101,919.0
0.04,113.243,0.187,168.812,0.1,919.0
0.041,113.244,-0.17,168.812,-0.085,919.0
0.042,113.244,-0.165,168.812,-0.088,919.0
0.043,113.245,-0.727,168.813,-0.396,919.0
0.044,113.245,-0.734,168.813,-0.395,919.0
0.045,113.246,0.735,168.813,0.404,919.0
0.046,113.246,0.744,168.814,0.408,919.0
0.047,113.247,0.204,168.814,0.109,919.0
0.048,113.248,0.2,168.814,0.102,919.0
0.049,113.248,-0.121,168.814,-0.068,919.0
0.05,113.249,-0.118,168.814,-0.067,919.0
0.051,113.25,-0.194,168.814,-0.112,919.0
0.052,113.25,-0.196,168.814,-0.109,919.0
0.053,113.251,-0.08,168.814,-0.039,919.0
0.054,113.252,-0.084,168.814,-0.039,919.0
0.055,113.253,0.097,168.814,0.056,919.0
0.056,113.254,0.103,168.813,0.057,919.0
0.057,113.254,0.223,168.813,0.125,919.0
0.058,113.255,0.217,168.813,0.121,919.0
0.059,113.256,0.152,168.813,0.081,919.0
0.06,113.257,0.158,168.813,0.082,919.0
0.061,113.257,-0.13,168.812,-0.077,919.0
0.062,113.258,-0.132,168.812,-0.076,919.0
0.063,113.259,-0.581,168.812,-0.317,919.0
0.064,113.259,-0.581,168.811,-0.32,919.0
0.065,113.26,0.598,168.811,0.327,919.0
0.066,113.261,0.592,168.811,0.329,919.0
0.067,113.261,0.153,168.81,0.088,919.0
0.068,113.262,0.161,168.81,0.091,919.0
0.069,113.263,-0.098,168.81,-0.054,919.0
0.07,113.263,-0.101,168.809,-0.056,919.0
0.071,113.264,-0.159,168.808,-0.09,919.0
0.072,113.265,-0.161,168.808,-0.092,919.0
0.073,113.265,-0.066,168.807,-0.035,919.0
0.074,113.266,-0.063,168.806,-0.035,919.0
0.075,113.267,0.088,168.806,0.048,919.0
0.076,113.267,0.089,168.805,0.053,919.0
0.077,113.268,0.18,168.804,0.101,919.0
0.078,113.269,0.179,168.804,0.092,919.0
0.079,113.269,0.121,168.803,0.063,919.0
0.08,113.27,0.12,168.802,0.068,919.0
0.081,113.27,-0.106,168.801,-0.059,919.0
0.082,113.271,-0.104,168.8,-0.057,919.0
0.083,113.271,-0.474,168.799,-0.254,919.0
0.084,113.271,-0.472,168.798,-0.255,919.0
0.085,113.272,0.485,168.797,0.26,919.0
0.086,113.272,0.477,168.796,0.256,919.0
0.087,113.273,0.125,168.795,0.071,919.0
0.088,113.273,0.128,168.794,0.071,919.0
0.089,113.273,-0.085,168.793,-0.044,919.0
0.09,113.273,-0.08,168.792,-0.041,919.0
0.091,113.273,-0.125,168.791,-0.074,919.0
0.092,113.273,-0.128,168.79,-0.072,919.0
0.093,113.273,-0.045,168.789,-0.026,919.0
0.094,113.273,-0.039,168.788,-0.028,919.0
0.095,113.273,0.071,168.787,0.043,919.0
0.096,113.273,0.065,168.787,0.04,919.0
0.097,113.273,0.138,168.786,0.076,919.0
0.098,113.273,0.134,168.785,0.081,919.0
